SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
07004;694;791;146;120;895;324;1191;95;199
07005;728;790;184;90;905;339;1303;63;152
07006;445;506;95;73;553;230;868;29;54
07007;619;785;114;122;693;475;1236;56;112
07008;683;748;135;125;775;396;1300;46;85
07009;535;670;125;108;704;268;1038;55;112
07010;625;710;140;153;784;258;1118;52;165
07011;519;631;116;71;707;256;929;68;153
07012;727;871;185;110;925;378;1343;83;172
07013;582;642;111;112;711;290;1135;22;67
07014;441;481;93;65;519;245;764;42;116
07015;651;734;160;126;750;349;1240;51;94
07016;640;686;155;131;728;312;1189;55;82
07017;709;929;207;124;912;395;1416;70;152
07018;737;922;207;146;923;383;1381;66;212
07019;676;792;162;121;803;382;1298;49;121
07020;717;863;204;133;878;365;1312;64;204
07021;494;527;109;85;580;247;919;47;55
07022;552;608;140;112;641;267;1053;27;80
07023;646;655;163;105;774;259;1112;76;113
07024;677;768;157;147;820;321;1234;79;132
07025;650;769;177;112;838;292;1178;74;167
07026;487;584;110;64;558;339;938;41;92
07027;922;1047;285;188;1063;433;1660;85;224
07028;724;773;198;149;921;229;1249;85;163
07029;644;662;125;118;677;386;1162;42;102
07030;623;762;204;96;747;338;1202;31;152
07031;749;805;207;109;894;344;1336;53;165
07032;698;699;175;129;800;293;1239;30;128
07033;650;745;157;122;768;348;1245;38;112
07034;831;903;245;152;993;344;1532;49;153
07035;798;979;238;170;1002;367;1602;67;108
07036;627;751;169;107;774;328;1246;26;106
07037;661;812;169;124;829;351;1250;59;164
07038;616;723;164;139;669;367;1133;62;144
07039;746;857;189;166;957;291;1365;72;166
07040;694;801;172;131;862;330;1269;86;140
07041;603;741;180;100;794;270;1088;65;191
07042;712;845;189;120;919;329;1317;51;189
07043;644;734;178;109;767;324;1175;42;161
07044;601;686;132;101;713;341;1168;32;87
07045;714;781;192;113;819;371;1299;63;133
07046;661;765;170;95;777;384;1205;49;172
07047;698;760;169;119;852;318;1243;52;163
07048;555;674;142;99;681;307;1079;46;104
07049;577;628;128;109;669;299;1067;45;93
07050;542;617;151;91;668;249;991;43;125
07051;786;944;242;149;942;397;1485;67;178
07052;571;652;147;102;601;373;1148;32;43
07053;688;761;204;122;778;345;1354;23;72
07054;728;817;245;134;806;360;1473;33;39
07055;568;632;171;131;580;318;1149;18;33
07056;576;601;164;110;634;269;1095;32;50
07057;676;775;197;161;788;305;1371;18;62
07058;661;700;180;118;777;286;1289;31;41
07059;602;661;164;90;711;298;1108;68;87
07060;907;922;236;144;1061;388;1632;65;132
07061;604;595;173;96;677;253;1107;22;70
07062;612;665;181;101;771;224;1101;49;127
07063;705;728;192;139;794;308;1282;29;122
07064;794;864;214;146;919;379;1477;41;140
07065;788;863;198;144;948;361;1352;51;248
07066;832;913;228;173;951;393;1450;58;237
